student@fit-vm:~/Desktop/Week6/LAB03$ gcc fork2.c -o fork
student@fit-vm:~/Desktop/Week6/LAB03$ ./fork
Message from P at the 0th iteration
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1001    1782    1409  0  80   0 - 77431 poll_s ?        00:00:00 gsd-a11y-settin
0 S  1001    1783    1409  0  80   0 - 126175 poll_s ?       00:00:00 gsd-color
0 S  1001    1785    1409  0  80   0 - 93422 poll_s ?        00:00:00 gsd-datetime
0 S  1001    1789    1409  0  80   0 - 77948 poll_s ?        00:00:00 gsd-housekeepin
0 S  1001    1794    1409  0  80   0 - 86507 poll_s ?        00:00:00 gsd-keyboard
0 S  1001    1795    1409  0  80   0 - 225306 poll_s ?       00:00:00 gsd-media-keys
0 S  1001    1797    1409  0  80   0 - 123471 poll_s ?       00:00:00 gsd-power
0 S  1001    1800    1409  0  80   0 - 62067 poll_s ?        00:00:00 gsd-print-notif
0 S  1001    1801    1409  0  80   0 - 114285 poll_s ?       00:00:00 gsd-rfkill
0 S  1001    1804    1409  0  80   0 - 58887 poll_s ?        00:00:00 gsd-screensaver
Message from P at the 4th iteration
Message from P at the 5th iteration
Message from P at the 6th iteration
0 S  1001    1808    1409  0  80   0 - 116180 poll_s ?       00:00:00 gsd-sharing
0 S  1001    1811    1409  0  80   0 - 78806 poll_s ?        00:00:00 gsd-smartcard
0 S  1001    1812    1409  0  80   0 - 79855 poll_s ?        00:00:00 gsd-sound
Message from P at the 7th iteration
0 S  1001    1825    1409  0  80   0 - 114691 poll_s ?       00:00:00 gsd-usb-protect
0 S  1001    1826    1409  0  80   0 - 86372 poll_s ?        00:00:00 gsd-wacom
0 S  1001    1831    1616  0  80   0 - 57950 poll_s ?        00:00:00 gsd-disk-utilit
0 S  1001    1832    1616  0  80   0 - 78189 poll_s ?        00:00:00 indicator-messa
0 S  1001    1836    1409  0  80   0 - 78512 poll_s ?        00:00:00 gsd-wwan
0 S  1001    1839    1409  0  80   0 - 86696 poll_s ?        00:00:00 gsd-xsettings
0 S  1001    1866    1616  0  80   0 - 159415 poll_s ?       00:00:00 evolution-alarm
4 S  1001    1925    1409  0  80   0 - 411353 poll_s ?       00:00:17 snap-store
0 S  1001    1934    1685  0  80   0 - 40675 poll_s ?        00:00:00 ibus-engine-sim
0 S  1001    1945    1409  0  80   0 - 85557 poll_s ?        00:00:00 gsd-printer
0 S  1001    1952    1409  0  80   0 - 114383 poll_s ?       00:00:00 xdg-document-po
0 S  1001    2052    1409  0  80   0 - 115653 poll_s ?       00:00:00 xdg-desktop-por
